Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121036-152651,WR,Marvin,Marvin Harrison Jr.,Harrison Jr.,10.199999809265137,4,6600,TEN@ARI,ARI,TEN,,,,,,WR/FLEX
121036-60840,QB,Jake,Jake Browning,Browning,14.319999694824219,2,6600,DET@CIN,CIN,DET,,,,,,QB
121036-119606,QB,Bryce,Bryce Young,Young,14.354999542236328,4,6600,MIA@CAR,CAR,MIA,,,,,,QB
121036-151794,TE,Brock,Brock Bowers,Bowers,9.25,4,6500,LV@IND,LV,IND,,,,,,TE/FLEX
121036-168356,QB,Cam,Cam Ward,Ward,7.690000057220459,4,6500,TEN@ARI,TEN,ARI,,,,,,QB
121036-29253,WR,Keenan,Keenan Allen,Allen,13.274999618530273,4,6500,WAS@LAC,LAC,WAS,,,,,,WR/FLEX
121036-87787,RB,J.K.,J.K. Dobbins,Dobbins,14.533332824707031,3,6500,DEN@PHI,DEN,PHI,,,,,,RB/FLEX
121036-111557,QB,Spencer,Spencer Rattler,Rattler,14.949999809265137,4,6500,NYG@NO,NO,NYG,,,,,,QB
121036-87467,RB,Chuba,Chuba Hubbard,Hubbard,12.399999618530273,4,6400,MIA@CAR,CAR,MIA,,,,,,RB/FLEX
121036-29358,QB,Marcus,Marcus Mariota,Mariota,18.760000228881836,2,6400,WAS@LAC,WAS,LAC,,,,,,QB
121036-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,13.5,4,6400,WAS@LAC,WAS,LAC,,,,,,WR/FLEX
121036-133472,WR,Ladd,Ladd McConkey,McConkey,6.349999904632568,4,6300,WAS@LAC,LAC,WAS,,,,,,WR/FLEX
121036-73273,RB,David,David Montgomery,Montgomery,13,4,6300,DET@CIN,DET,CIN,,,,,,RB/FLEX
121036-44715,QB,Cooper,Cooper Rush,Rush,0.8399999737739563,2,6200,HOU@BAL,BAL,HOU,,,,,,QB
121036-167620,WR,Tetairoa,Tetairoa McMillan,McMillan,9.949999809265137,4,6200,MIA@CAR,CAR,MIA,,,,,,WR/FLEX
121036-183240,RB,Cam,Cam Skattebo,Skattebo,11.975000381469727,4,6200,NYG@NO,NYG,NO,,,,,,RB/FLEX
121036-103539,WR,Wan'Dale,Wan'Dale Robinson,Robinson,10.425000190734863,4,6100,NYG@NO,NYG,NO,,,,,,WR/FLEX
121036-137530,TE,Tyler,Tyler Warren,Warren,10.600000381469727,4,6100,LV@IND,IND,LV,,,,,,TE/FLEX
121036-87770,WR,Chris,Chris Olave,Olave,9.125,4,6100,NYG@NO,NO,NYG,,,,,,WR/FLEX
121036-14377,QB,Tyrod,Tyrod Taylor,Taylor,13.010000228881836,2,6000,DAL@NYJ,NYJ,DAL,,,,,,QB
121036-152646,QB,Kyle,Kyle McCord,McCord,,0,6000,DEN@PHI,PHI,DEN,,,,,,QB
121036-52342,QB,Will,Will Grier,Grier,,0,6000,DAL@NYJ,DAL,NYJ,,,,,,QB
121036-104576,QB,Sam,Sam Howell,Howell,0.07999999821186066,2,6000,DEN@PHI,PHI,DEN,,,,,,QB
121036-63634,WR,Jakobi,Jakobi Meyers,Meyers,9.074999809265137,4,6000,LV@IND,LV,IND,,,,,,WR/FLEX
121036-103591,QB,Graham,Graham Mertz,Mertz,,0,6000,HOU@BAL,HOU,BAL,,,,,,QB
121036-160938,QB,Quinn,Quinn Ewers,Ewers,,0,6000,MIA@CAR,MIA,CAR,,,,,,QB
121036-86200,QB,Sean,Sean Clifford,Clifford,,0,6000,DET@CIN,CIN,DET,,,,,,QB
121036-149696,QB,Trey,Trey Lance,Lance,2.7479999542236326,5,6000,WAS@LAC,LAC,WAS,,,,,,QB
121036-93382,QB,Aidan,Aidan O'Connell,O'Connell,11.164444817437065,9,6000,LV@IND,LV,IND,IR,Wrist,,,,QB
121036-86243,QB,Will,Will Levis,Levis,10.995000203450521,12,6000,TEN@ARI,TEN,ARI,IR,Shoulder,,,,QB
121036-91390,QB,Joe,Joe Milton III,Milton III,0.6399999856948853,1,6000,DAL@NYJ,DAL,NYJ,,,,,,QB
121036-63759,RB,Tony,Tony Pollard,Pollard,9.649999618530273,4,6000,TEN@ARI,TEN,ARI,,,,,,RB/FLEX
121036-24849,QB,Jameis,Jameis Winston,Winston,13.830909035422586,11,6000,NYG@NO,NYG,NO,,,,,,QB
121036-129315,QB,Anthony,Anthony Richardson Sr.,Richardson Sr.,-0.10000000149011612,1,6000,LV@IND,IND,LV,,,,,,QB
121036-90406,QB,Zach,Zach Wilson,Wilson,1.5800000429153442,1,6000,MIA@CAR,MIA,CAR,,,,,,QB
121036-27986,QB,C.J.,C.J. Beathard,Beathard,,0,6000,DET@CIN,DET,CIN,,,,,,QB
121036-88431,QB,Tyler,Tyler Shough,Shough,0,1,6000,NYG@NO,NO,NYG,,,,,,QB
121036-92560,QB,Sam,Sam Ehlinger,Ehlinger,0,1,6000,DEN@PHI,DEN,PHI,,,,,,QB
121036-70051,QB,Tyler,Tyler Huntley,Huntley,12.731999969482422,5,6000,HOU@BAL,BAL,HOU,,,,,,QB
121036-110000,QB,Connor,Connor Bazelak,Bazelak,,0,6000,TB@SEA,TB,SEA,,,,,,QB
121036-31170,QB,Brandon,Brandon Allen,Allen,2.7866665522257485,3,6000,TEN@ARI,TEN,ARI,,,,,,QB
121036-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,0.11999999731779099,1,6000,TB@SEA,TB,SEA,,,,,,QB
121036-22015,QB,Russell,Russell Wilson,Wilson,13.210000038146973,4,6000,NYG@NO,NYG,NO,,,,,,QB
121036-89607,QB,Tanner,Tanner McKee,McKee,7.204999923706055,4,6000,DEN@PHI,PHI,DEN,,,,,,QB
121036-60947,QB,Jarrett,Jarrett Stidham,Stidham,0.16666666666666666,3,6000,DEN@PHI,DEN,PHI,,,,,,QB
121036-102933,QB,Kedon,Kedon Slovis,Slovis,,0,6000,TEN@ARI,ARI,TEN,,,,,,QB
121036-30231,QB,Jacoby,Jacoby Brissett,Brissett,0.20000000298023224,1,6000,TEN@ARI,ARI,TEN,,,,,,QB
121036-89628,QB,Davis,Davis Mills,Mills,1.596666653951009,6,6000,HOU@BAL,HOU,BAL,,,,,,QB
121036-87594,QB,Sam,Sam Hartman,Hartman,,0,6000,WAS@LAC,WAS,LAC,,,,,,QB
121036-30253,QB,Jeff,Jeff Driskel,Driskel,0,1,6000,LV@IND,LV,IND,,,,,,QB
121036-64051,QB,Drew,Drew Lock,Lock,0.5,1,6000,TB@SEA,SEA,TB,,,,,,QB
121036-208467,QB,Cam,Cam Miller,Miller,,0,6000,LV@IND,LV,IND,,,,,,QB
121036-89680,TE,Jake,Jake Ferguson,Ferguson,11.324999809265137,4,6000,DAL@NYJ,DAL,NYJ,,,,,,TE/FLEX
121036-40534,QB,Mike,Mike White,White,1.1200000047683716,1,6000,DET@CIN,CIN,DET,,,,,,QB
121036-61157,QB,Brett,Brett Rypien,Rypien,0,1,6000,DET@CIN,CIN,DET,,,,,,QB
121036-86793,QB,Jake,Jake Haener,Haener,1.7799999713897705,8,6000,NYG@NO,NO,NYG,,,,,,QB
121036-28434,QB,Trevor,Trevor Siemian,Siemian,,0,6000,TEN@ARI,TEN,ARI,,,,,,QB
121036-92975,QB,Malik,Malik Cunningham,Cunningham,,0,6000,DET@CIN,DET,CIN,,,,,,QB
121036-154450,QB,Riley,Riley Leonard,Leonard,,0,6000,LV@IND,IND,LV,,,,,,QB
121036-8023,QB,Josh,Josh Johnson,Johnson,0.19499999284744263,4,6000,WAS@LAC,WAS,LAC,,,,,,QB
121036-119641,QB,Brady,Brady Cook,Cook,,0,6000,DAL@NYJ,NYJ,DAL,,,,,,QB
121036-154462,QB,Jalen,Jalen Milroe,Milroe,0.20000000298023224,2,6000,TB@SEA,SEA,TB,,,,,,QB
121036-53095,QB,Kyle,Kyle Allen,Allen,-0.20000000298023224,1,6000,DET@CIN,DET,CIN,,,,,,QB
121036-63336,QB,Joe,Joe Burrow,Burrow,7.929999828338623,2,6000,DET@CIN,CIN,DET,IR,Toe,,,,QB
121036-92020,QB,Kenny,Kenny Pickett,Pickett,3.6342857905796597,7,6000,LV@IND,LV,IND,,,,,,QB
121036-14225,QB,Andy,Andy Dalton,Dalton,3.109999895095825,2,6000,MIA@CAR,CAR,MIA,,,,,,QB
121036-56250,WR,Terry,Terry McLaurin,McLaurin,6.633333206176758,3,6000,WAS@LAC,WAS,LAC,Q,Quadriceps,,,,WR/FLEX
121036-85983,QB,Hendon,Hendon Hooker,Hooker,0.6700000166893005,4,6000,MIA@CAR,CAR,MIA,,,,,,QB
121036-129010,QB,DJ,DJ Uiagalelei,Uiagalelei,,0,6000,WAS@LAC,LAC,WAS,,,,,,QB
121036-55635,WR,Chris,Chris Godwin Jr.,Godwin Jr.,4.099999904632568,1,5900,TB@SEA,TB,SEA,,,,,,WR/FLEX
121036-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,12.975000381469727,4,5900,LV@IND,IND,LV,,,,,,WR/FLEX
121036-53562,RB,Nick,Nick Chubb,Chubb,8.225000381469727,4,5800,HOU@BAL,HOU,BAL,,,,,,RB/FLEX
121036-90573,WR,Jaylen,Jaylen Waddle,Waddle,10.90000025431315,3,5800,MIA@CAR,MIA,CAR,,,,,,WR/FLEX
121036-90576,WR,DeVonta,DeVonta Smith,Smith,7.574999809265137,4,5800,DEN@PHI,PHI,DEN,,,,,,WR/FLEX
121036-83074,TE,Dallas,Dallas Goedert,Goedert,11.800000508626303,3,5700,DEN@PHI,PHI,DEN,,,,,,TE/FLEX
121036-103619,WR,Tre,Tre Tucker,Tucker,14.725000381469727,4,5700,LV@IND,LV,IND,,,,,,WR/FLEX
121036-103376,RB,Zach,Zach Charbonnet,Charbonnet,7.700000127156575,3,5700,TB@SEA,SEA,TB,,,,,,RB/FLEX
121036-79970,WR,Cooper,Cooper Kupp,Kupp,5.925000190734863,4,5600,TB@SEA,SEA,TB,,,,,,WR/FLEX
